objectID,FrameDetected,wrongRate,RateHigherThan80%Frame,
E:\updatebackground\10daysResult.csv.xlsx,,,,
E:\updatebackground\objectoutput2022-4-25-10-0-0.csv,,,,
2,44,0,0,1
4,47,0.148936,0,0.0243902
6,8,0,0,1
8,202,0.00990099,0,0.00497512
12,27,0,0,1
18,6,0.833333,0,0.833333
20,100,0,0,1
21,112,0.366071,0,0.0144928
28,24,0,0,1
29,62,0,0,1
30,49,0.368421,0,0.1
38,40,0.5,0,0.428571
41,73,0.333333,0,0.333333
43,36,0,0,1
47,21,0.52381,0,0.285714
52,6,1,1,1
55,8,0.875,0,0.833333
56,61,0.823529,0,0.32
65,54,0.037037,0,0.0188679
66,23,0,0,1
70,95,0.958333,15,0.361702
75,60,0.176471,0,0.0666667
78,8,0,0,1
79,20,0.1,0,0.0555556
91,75,0.0533333,0,0.0140845
101,22,0.333333,0,0.333333
103,32,0,0,1
107,99,1,18,0.857143
114,30,0,0,1
117,36,0,0,1
125,9,0,0,1
126,23,0,0,1
131,6,0,0,1
134,20,0,0,1
142,26,0,0,1
145,145,0,0,1
147,8,0,0,1
150,45,0,0,1
153,56,0.037037,0,0.0196078
161,29,0.178571,0,0.047619
170,30,0,0,1
172,8,0.714286,0,0.666667
174,38,0,0,1
176,25,0,0,1
179,6,0,0,1
181,42,0,0,1
183,51,0.466667,0,0.25
184,11,0.363636,0,0.166667
186,66,0,0,1
197,167,0,0,1
198,13,0,0,1
199,90,0.333333,0,0.0163934
205,12,0,0,1
206,24,0,0,1
207,41,0,0,1
227,45,0,0,1
233,6,0,0,1
234,80,0,0,1
243,30,0,0,1
247,31,0,0,1
250,71,0,0,1
256,39,0,0,1
263,124,1,46,0.422764
265,34,0.25,0,0.0909091
268,91,0.010989,0,0.010989
272,19,0.473684,0,0.111111
277,36,0,0,1
282,32,0,0,1
288,57,0.235294,0,0.0909091
291,44,0,0,1
293,22,0,0,1
294,29,0,0,1
296,14,1,9,1
297,70,0.0142857,0,0.0142857
299,7,0.714286,0,0.666667
306,11,0.833333,0,0.75
308,7,0,0,1
309,33,0,0,1
311,31,0,0,1
315,28,0.0357143,0,0.0357143
320,84,0.0131579,0,0.0131579
322,102,0,0,1
325,45,0,0,1
332,60,0.0666667,0,0.0185185
335,22,0.454545,0,0.142857
340,21,0.809524,0,0.333333
347,20,0,0,1
